timestamp,test-class,test-method,time,description,result
2021-08-04 17:06:12.882,acme.testing.SignUpTest,createPositive,4641,"[1] recordIndex=0, username=tester, password=tester, confirmation=tester, name=tester, surname=tester, email=tester@gmail.com, accept=true",OK
2021-08-04 17:06:16.397,acme.testing.SignUpTest,createNegative,2920,"[1] recordIndex=0, username=tester, password=tester, confirmation=tester, name=tester, surname=tester, email=tester@gmail.com, accept=true",OK
2021-08-04 17:06:19.694,acme.testing.SignUpTest,createNegative,2916,"[2] recordIndex=0, username=null, password=tester, confirmation=tester, name=tester, surname=tester, email=tester@gmail.com, accept=true",OK
2021-08-04 17:06:23.518,acme.testing.SignUpTest,createNegative,3469,"[3] recordIndex=0, username=tester2, password=null, confirmation=tester, name=tester, surname=tester, email=tester@gmail.com, accept=true",OK
2021-08-04 17:06:26.682,acme.testing.SignUpTest,createNegative,2787,"[4] recordIndex=0, username=tester2, password=tester, confirmation=null, name=tester, surname=tester, email=tester@gmail.com, accept=true",OK
2021-08-04 17:06:29.877,acme.testing.SignUpTest,createNegative,2867,"[5] recordIndex=0, username=tester2, password=tester, confirmation=tester, name=null, surname=tester, email=tester@gmail.com, accept=true",OK
2021-08-04 17:06:32.986,acme.testing.SignUpTest,createNegative,2798,"[6] recordIndex=0, username=tester2, password=tester, confirmation=tester, name=tester, surname=null, email=tester@gmail.com, accept=true",OK
2021-08-04 17:06:36.335,acme.testing.SignUpTest,createNegative,3003,"[7] recordIndex=0, username=tester2, password=toolongtoolongtoolongtoolongtoolongtoolongtoolongtoolongtoolongtoolongtoolongtoolong, confirmation=toolongtoolongtoolongtoolongtoolongtoolongtoolongtoolongtoolongtoolongtoolongtoolong, name=tester, surname=tester, email=tester@gmail.com, accept=true",OK
2021-08-04 17:06:39.428,acme.testing.SignUpTest,createNegative,2795,"[8] recordIndex=0, username=tester2, password=tester, confirmation=tester, name=tester, surname=tester, email=null, accept=true",OK
2021-08-04 17:06:42.605,acme.testing.SignUpTest,createNegative,2876,"[9] recordIndex=0, username=tester2, password=tes, confirmation=tes, name=tester, surname=tester, email=tester@gmail.com, accept=true",OK
2021-08-04 17:06:45.745,acme.testing.SignUpTest,createNegative,2806,"[10] recordIndex=0, username=tester2, password=tester, confirmation=testd, name=tester, surname=tester, email=tester@gmail.com, accept=true",OK
2021-08-04 17:06:48.975,acme.testing.SignUpTest,createNegative,2872,"[11] recordIndex=0, username=tester2, password=tester, confirmation=tester, name=tester, surname=tester, email=estonoesuncorreo, accept=true",OK
2021-08-04 17:06:52.178,acme.testing.SignUpTest,createNegative,2772,"[12] recordIndex=0, username=te, password=tester, confirmation=tester, name=tester, surname=tester, email=esto@gmail.com, accept=true",OK
2021-08-04 17:06:55.342,acme.testing.SignUpTest,createNegative,2832,"[13] recordIndex=0, username=testertestertestertestertestertestertestertestertestertestertester, password=tester, confirmation=tester, name=tester, surname=tester, email=esto@gmail.com, accept=true",OK
2021-08-04 17:06:58.506,acme.testing.SignUpTest,createNegative,2770,"[14] recordIndex=0, username=null, password=null, confirmation=null, name=null, surname=null, email=null, accept=true",OK
2021-08-04 17:07:01.362,acme.testing.SignUpTest,createNegative,2487,"[15] recordIndex=0, username=null, password=null, confirmation=null, name=null, surname=null, email=null, accept=false",OK
2021-08-04 17:07:04.415,acme.testing.SignUpTest,createNegative,2694,"[16] recordIndex=0, username=tester2, password=null, confirmation=null, name=null, surname=null, email=null, accept=true",OK
2021-08-04 17:07:07.502,acme.testing.SignUpTest,createNegative,2757,"[17] recordIndex=0, username=null, password=tester2, confirmation=null, name=null, surname=null, email=null, accept=true",OK
2021-08-04 17:07:10.521,acme.testing.SignUpTest,createNegative,2708,"[18] recordIndex=0, username=null, password=null, confirmation=tester2, name=null, surname=null, email=null, accept=true",OK
2021-08-04 17:07:13.566,acme.testing.SignUpTest,createNegative,2746,"[19] recordIndex=0, username=null, password=null, confirmation=null, name=tester2, surname=null, email=null, accept=true",OK
2021-08-04 17:07:16.655,acme.testing.SignUpTest,createNegative,2735,"[20] recordIndex=0, username=null, password=null, confirmation=null, name=null, surname=tester2, email=null, accept=true",OK
2021-08-04 17:07:19.693,acme.testing.SignUpTest,createNegative,2709,"[21] recordIndex=0, username=null, password=null, confirmation=null, name=null, surname=null, email=email@gmail.com, accept=true",OK
2021-08-04 17:07:22.641,acme.testing.SignUpTest,createNegative,2607,"[22] recordIndex=0, username=tester3, password=tester3, confirmation=tester3, name=tester3, surname=tester3, email=tester@gmail.com, accept=false",OK
